num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,1,https://i.imgur.com/GFjOREF.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
2,3,https://i.imgur.com/2G4OMNl.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
3,4,https://i.imgur.com/GTvNFYn.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
4,1,https://i.imgur.com/N66MtsZ.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
5,4,https://i.imgur.com/6R1HzKq.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
6,3,https://i.imgur.com/DvHNU7k.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
7,4,https://i.imgur.com/B60oTBk.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
8,1,https://i.imgur.com/iuzACRm.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
9,1,https://i.imgur.com/b73iALp.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
10,4,https://i.imgur.com/MMKEC2N.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
11,1,https://i.imgur.com/fVLMP7E.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
12,1,https://i.imgur.com/0w0zZER.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
13,1,https://i.imgur.com/iLxp3on.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
14,4,https://i.imgur.com/6a7njnD.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
15,1,https://i.imgur.com/8GN1PeR.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
16,4,https://i.imgur.com/ZGzlLBd.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
17,4,https://i.imgur.com/NOZL3kC.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
18,2,https://i.imgur.com/yNyzBXA.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
19,3,https://i.imgur.com/9PALKUw.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
20,3,https://i.imgur.com/KEejQuw.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
21,4,https://i.imgur.com/GwTvHEC.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
22,1,https://i.imgur.com/1XPpaAZ.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
23,1,https://i.imgur.com/9mbN0ri.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
24,3,https://i.imgur.com/r9YoAEO.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
25,4,https://i.imgur.com/UlBKlSS.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
26,4,https://i.imgur.com/bgeKYrD.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
27,1,https://i.imgur.com/hfzRSgb.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
28,1,https://i.imgur.com/t16wkvm.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
29,2,https://i.imgur.com/MX7EOjF.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
30,3,https://i.imgur.com/Eh7qJai.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
31,1,https://i.imgur.com/n4wDoAJ.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
32,1,https://i.imgur.com/jVoebRr.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
33,2,https://i.imgur.com/s6LETR9.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
34,4,https://i.imgur.com/KShj3Io.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
35,3,https://i.imgur.com/z55FN0Q.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
36,1,https://i.imgur.com/s6flssh.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
37,3,https://i.imgur.com/zJtDg97.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
38,1,https://i.imgur.com/OpxmFaN.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
39,3,https://i.imgur.com/6XevTS7.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
40,2,https://i.imgur.com/WHHYvOe.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
41,3,https://i.imgur.com/4b4gO23.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
42,3,https://i.imgur.com/NYiHZTd.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
43,1,https://i.imgur.com/RfoV0DT.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
44,1,https://i.imgur.com/EC0N5YS.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
45,2,https://i.imgur.com/L5dX5nD.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
46,2,https://i.imgur.com/ZTBc9w6.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
47,2,https://i.imgur.com/tWGYeWj.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
48,2,https://i.imgur.com/FaaW9gc.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
49,2,https://i.imgur.com/GHIz0kn.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
50,3,https://i.imgur.com/lwyXQBG.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
51,1,https://i.imgur.com/QQdyYgJ.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
52,4,https://i.imgur.com/BF3Cans.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
53,3,https://i.imgur.com/XsnU1MH.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
54,2,https://i.imgur.com/m6BJ2VZ.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
55,1,https://i.imgur.com/AJxfG9C.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
56,4,https://i.imgur.com/T0ip92U.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
57,3,https://i.imgur.com/V44ghrW.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
58,1,https://i.imgur.com/VZ0rCgI.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
59,4,https://i.imgur.com/dwGmWX7.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
60,1,https://i.imgur.com/pp3tGml.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
61,4,https://i.imgur.com/3XcabtY.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
62,2,https://i.imgur.com/QKkZMZC.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
63,3,https://i.imgur.com/zzBvSI7.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
64,1,https://i.imgur.com/HlCdElr.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
65,1,https://i.imgur.com/UcJvsBM.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
66,2,https://i.imgur.com/ktvvOxu.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
67,3,https://i.imgur.com/ZDqFbp3.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
68,4,https://i.imgur.com/RSMFX8k.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
69,4,https://i.imgur.com/BiRTxCs.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
70,2,https://i.imgur.com/bsMrxWj.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
71,1,https://i.imgur.com/VGqTTgn.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
72,1,https://i.imgur.com/6wP90yl.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
73,4,https://i.imgur.com/6GwEdE1.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
74,3,https://i.imgur.com/Tv2TkLr.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
75,2,https://i.imgur.com/g5bK1RF.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
76,4,https://i.imgur.com/6EJwR4j.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
77,3,https://i.imgur.com/Qxd1zyX.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
78,4,https://i.imgur.com/9cMrPVv.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
79,1,https://i.imgur.com/Mu7XPIn.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
80,3,https://i.imgur.com/fwl9dRN.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
81,1,https://i.imgur.com/mGchLYY.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
82,3,https://i.imgur.com/fFVFdMv.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
83,2,https://i.imgur.com/l7OTxOc.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
84,4,https://i.imgur.com/uPLyW5X.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
85,2,https://i.imgur.com/naEbN6t.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
86,3,https://i.imgur.com/QHigFsI.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
87,2,https://i.imgur.com/0YmDEJb.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
88,4,https://i.imgur.com/AHPfbLQ.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
89,4,https://i.imgur.com/9tLLzuq.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
90,4,https://i.imgur.com/nSN9WYT.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
91,3,https://i.imgur.com/AGrrvNE.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
92,1,https://i.imgur.com/l76o541.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
93,3,https://i.imgur.com/QjClsFo.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
94,3,https://i.imgur.com/KFnIvaW.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
95,3,https://i.imgur.com/z4RaYgn.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
96,3,https://i.imgur.com/RSRomBo.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
97,2,https://i.imgur.com/yjXKJIs.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
98,1,https://i.imgur.com/2PDKuiv.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
99,2,https://i.imgur.com/SeA3bSe.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
100,3,https://i.imgur.com/XJFd414.png,jeeChemistry12,English,A,B,C,D,JITO,IITJEE12
