,correct,QuestionLink,category,Direction,optA,optB,optC,optD
33,a,https://image.ibb.co/ew65NH/tscan_A106_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
34,b,https://image.ibb.co/c18wUx/tscan_A106_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
35,a,https://image.ibb.co/jhS6Ux/tscan_A106_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
36,b,https://image.ibb.co/kPJD9x/tscan_A106_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
37,b,https://image.ibb.co/cQ8D9x/tscan_A106_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
38,b,https://image.ibb.co/ni0RUx/tscan_A106_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
39,a,https://image.ibb.co/d0rY9x/tscan_A106_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
40,a,https://image.ibb.co/nt2Jbc/tscan_A106_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
41,b,https://image.ibb.co/hcS6Ux/tscan_A106_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
42,d,https://image.ibb.co/fUnjGc/tscan_A106_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
43,c,https://image.ibb.co/hfrdbc/tscan_A106_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
44,c,https://image.ibb.co/iyYrwc/tscan_A106_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
45,c,https://image.ibb.co/knMdbc/tscan_A106_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
46,c,https://image.ibb.co/kKzmUx/tscan_A106_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
47,a,https://image.ibb.co/jwemUx/tscan_A106_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
48,d,https://image.ibb.co/n9K9hH/tscan_A106_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
49,c,https://image.ibb.co/bHOPGc/tscan_A106_48.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
50,d,https://image.ibb.co/gcQFNH/tscan_A106_49.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
51,c,https://image.ibb.co/d5eaNH/tscan_A106_50.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
52,c,https://image.ibb.co/ch5t9x/tscan_A106_51.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
53,c,https://image.ibb.co/gh322H/tscan_A106_52.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
54,b,https://image.ibb.co/idZmUx/tscan_A107_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
55,b,https://image.ibb.co/g0orwc/tscan_A107_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
56,c,https://image.ibb.co/epTPGc/tscan_A107_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
57,d,https://image.ibb.co/jrAFNH/tscan_A107_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
58,d,https://image.ibb.co/jWJfpx/tscan_A107_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
59,d,https://image.ibb.co/jHPLpx/tscan_A107_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
60,d,https://image.ibb.co/cUEaNH/tscan_A107_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
61,d,https://image.ibb.co/j3W0px/tscan_A107_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
62,d,https://image.ibb.co/ewemUx/tscan_A107_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
63,d,https://image.ibb.co/fqRphH/tscan_A107_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
64,d,https://image.ibb.co/kWn6Ux/tscan_A107_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
65,a,https://image.ibb.co/eiOfpx/tscan_A107_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
66,a,https://image.ibb.co/cUJD9x/tscan_A107_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
67,a,https://image.ibb.co/iiMphH/tscan_A107_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
68,c,https://image.ibb.co/hNjWwc/tscan_A107_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
69,c,https://image.ibb.co/jC5t9x/tscan_A107_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
70,a,https://image.ibb.co/g8f4Gc/tscan_A107_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
71,c,https://image.ibb.co/fNDD9x/tscan_A107_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
72,c,https://image.ibb.co/eztD9x/tscan_A107_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
73,c,https://image.ibb.co/coU9hH/tscan_A107_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
74,d,https://image.ibb.co/jBOD9x/tscan_A107_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
75,c,https://image.ibb.co/mNnJbc/tscan_A107_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
76,a,https://image.ibb.co/hP822H/tscan_A107_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
77,b,https://image.ibb.co/gsKmUx/tscan_A107_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
78,c,https://image.ibb.co/d3PWwc/tscan_A107_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
79,a,https://image.ibb.co/mRVh2H/tscan_A107_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
80,d,https://image.ibb.co/jcWphH/tscan_A107_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
81,c,https://image.ibb.co/dGkFNH/tscan_A107_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
82,a,https://image.ibb.co/kZ1Y9x/tscan_A107_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
83,b,https://image.ibb.co/eJFFNH/tscan_A107_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
84,c,https://image.ibb.co/eZSUhH/tscan_A107_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
85,b,https://image.ibb.co/dJ49hH/tscan_A107_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
86,d,https://image.ibb.co/iqk4Gc/tscan_A107_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
87,d,https://image.ibb.co/cf99hH/tscan_A107_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
88,a,https://image.ibb.co/gRQ4Gc/tscan_A107_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
89,d,https://image.ibb.co/cCZaNH/tscan_A107_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
90,a,https://image.ibb.co/kpah2H/tscan_A107_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
91,a,https://image.ibb.co/mVRphH/tscan_A107_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
92,a,https://image.ibb.co/ksft9x/tscan_A107_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
93,b,https://image.ibb.co/mfat9x/tscan_A107_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
94,d,https://image.ibb.co/nh5t9x/tscan_A107_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
95,b,https://image.ibb.co/bYH6Ux/tscan_A107_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
96,a,https://image.ibb.co/ecWphH/tscan_A107_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
97,d,https://image.ibb.co/dcLh2H/tscan_A107_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
98,b,https://image.ibb.co/fUcUhH/tscan_A107_48.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
99,a,https://image.ibb.co/eMZLpx/tscan_A107_49.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
100,d,https://image.ibb.co/jP2UhH/tscan_A107_50.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
101,d,https://image.ibb.co/cy3D9x/tscan_A107_51.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
102,d,https://image.ibb.co/hjK9hH/tscan_A107_52.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
103,d,https://image.ibb.co/ndJ22H/tscan_A107_53.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
104,d,https://image.ibb.co/cOW0px/tscan_A107_54.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
105,d,https://image.ibb.co/exywUx/tscan_A107_55.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
106,d,https://image.ibb.co/m27C2H/tscan_A107_56.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
107,c,https://image.ibb.co/bPBGUx/tscan_A107_57.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
108,a,https://image.ibb.co/nEtkNH/tscan_A107_58.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
109,d,https://image.ibb.co/gC0obc/tscan_A107_59.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
110,b,https://image.ibb.co/jB0X2H/tscan_A108_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
111,d,https://image.ibb.co/evQMwc/tscan_A108_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
112,a,https://image.ibb.co/eCcZGc/tscan_A108_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
113,c,https://image.ibb.co/cXAzhH/tscan_A108_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
114,b,https://image.ibb.co/b171wc/tscan_A108_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
115,c,https://image.ibb.co/fQ0Mwc/tscan_A108_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
116,d,https://image.ibb.co/cqVzhH/tscan_A108_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
117,d,https://image.ibb.co/mcVMwc/tscan_A108_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
118,b,https://image.ibb.co/hJVX2H/tscan_A108_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
119,d,https://image.ibb.co/izdwUx/tscan_A108_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
120,d,https://image.ibb.co/dV7qpx/tscan_A108_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
121,d,https://image.ibb.co/kMbTbc/tscan_A108_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
122,d,https://image.ibb.co/mPtkNH/tscan_A108_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
123,d,https://image.ibb.co/hQXqpx/tscan_A108_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
124,d,https://image.ibb.co/fOri9x/tscan_A108_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
125,d,https://image.ibb.co/dTsZGc/tscan_A108_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
126,c,https://image.ibb.co/nakX2H/tscan_A108_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
127,a,https://image.ibb.co/hUOKhH/tscan_A108_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
128,d,https://image.ibb.co/cgPgwc/tscan_A108_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
129,b,https://image.ibb.co/d9aApx/tscan_A108_022.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
130,b,https://image.ibb.co/hXTVpx/tscan_A108_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
131,d,https://image.ibb.co/nKp39x/tscan_A108_023.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
132,d,https://image.ibb.co/iDfX2H/tscan_A108_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
133,a,https://image.ibb.co/iED8bc/tscan_A108_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
134,a,https://image.ibb.co/fuNO9x/tscan_A108_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
135,b,https://image.ibb.co/bwxqpx/tscan_A108_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
136,d,https://image.ibb.co/kp7ZGc/tscan_A108_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
137,c,https://image.ibb.co/eeXehH/tscan_A108_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
138,a,https://image.ibb.co/bU7ZGc/tscan_A108_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
139,c,https://image.ibb.co/dn3Vpx/tscan_A108_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
140,d,https://image.ibb.co/dwcO9x/tscan_A108_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
141,b,https://image.ibb.co/nLfzhH/tscan_A108_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
142,c,https://image.ibb.co/fHqbUx/tscan_A108_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
143,b,https://image.ibb.co/hM3KhH/tscan_A108_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
144,c,https://image.ibb.co/iOYKhH/tscan_A108_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
145,b,https://image.ibb.co/nmiwUx/tscan_A108_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
146,a,https://image.ibb.co/f4hZGc/tscan_A108_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
147,c,https://image.ibb.co/bMUEGc/tscan_A108_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
148,a,https://image.ibb.co/iZMTbc/tscan_A108_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
149,a,https://image.ibb.co/bWpQNH/tscan_A108_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
150,d,https://image.ibb.co/mCqX2H/tscan_A108_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
151,b,https://image.ibb.co/fuXehH/tscan_A108_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
152,a,https://image.ibb.co/j2DkNH/tscan_A108_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
153,a,https://image.ibb.co/gaQMwc/tscan_A108_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
154,b,https://image.ibb.co/ciAApx/tscan_A108_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
155,a,https://image.ibb.co/nHRi9x/tscan_A108_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
156,a,https://image.ibb.co/kFkbUx/tscan_A108_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
157,c,https://image.ibb.co/nfT8bc/tscan_A108_48.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
158,c,https://image.ibb.co/ia6uGc/tscan_A108_49.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
159,c,https://image.ibb.co/hT9EGc/tscan_A108_50.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
160,b,https://image.ibb.co/dVjgwc/tscan_A108_51.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
161,b,https://image.ibb.co/cM3KhH/tscan_A108_52.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
162,c,https://image.ibb.co/bL6uGc/tscan_A109_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
163,d,https://image.ibb.co/cmQbUx/tscan_A109_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
164,c,https://image.ibb.co/ivAbUx/tscan_A109_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
165,b,https://image.ibb.co/kjxO9x/tscan_A109_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
166,d,https://image.ibb.co/iqqApx/tscan_A109_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
167,a,https://image.ibb.co/gn939x/tscan_A109_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
168,b,https://image.ibb.co/jXgGUx/tscan_A109_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
169,a,https://image.ibb.co/etxC2H/tscan_A109_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
170,c,https://image.ibb.co/mifX2H/tscan_A109_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
171,c,https://image.ibb.co/cWAobc/tscan_A109_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
172,c,https://image.ibb.co/cdvMwc/tscan_A109_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
173,b,https://image.ibb.co/hv8kNH/tscan_A109_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
174,d,https://image.ibb.co/iD4gwc/tscan_A109_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
175,b,https://image.ibb.co/mo9EGc/tscan_A109_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
176,a,https://image.ibb.co/bRQX2H/tscan_A109_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
177,b,https://image.ibb.co/miWTbc/tscan_A109_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
178,c,https://image.ibb.co/eJVbUx/tscan_A109_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
179,c,https://image.ibb.co/gcCqpx/tscan_A109_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
180,c,https://image.ibb.co/cHft9x/tscan_A109_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
181,b,https://image.ibb.co/jsVt9x/tscan_A109_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
182,c,https://image.ibb.co/nKHJbc/tscan_A109_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
183,d,https://image.ibb.co/mgJfpx/tscan_A109_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
184,b,https://image.ibb.co/kUxvNH/tscan_A109_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
185,c,https://image.ibb.co/mVuLpx/tscan_A109_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
186,d,https://image.ibb.co/h96Bwc/tscan_A109_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
187,d,https://image.ibb.co/hnoD9x/tscan_A109_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
188,d,https://image.ibb.co/gffRUx/tscan_A109_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
189,b,https://image.ibb.co/cC7jGc/tscan_A109_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
190,a,https://image.ibb.co/dXMY9x/tscan_A109_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
191,c,https://image.ibb.co/j5vFNH/tscan_A109_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
192,c,https://image.ibb.co/jy3D9x/tscan_A109_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
193,a,https://image.ibb.co/ce1dbc/tscan_A109_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
194,d,https://image.ibb.co/gR3rwc/tscan_A109_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
195,d,https://image.ibb.co/eONjGc/tscan_A109_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
196,a,https://image.ibb.co/dsKmUx/tscan_A109_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
197,c,https://image.ibb.co/jo1N2H/tscan_A109_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
198,c,https://image.ibb.co/by7vNH/tscan_A109_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
199,c,https://image.ibb.co/jMHjGc/tscan_A109_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
200,d,https://image.ibb.co/meDfpx/tscan_A109_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
201,b,https://image.ibb.co/cnZWwc/tscan_A109_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
202,c,https://image.ibb.co/ezWBwc/tscan_A109_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
203,d,https://image.ibb.co/koH6Ux/tscan_A109_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
204,c,https://image.ibb.co/fxc6Ux/tscan_A109_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
205,c,https://image.ibb.co/hwJfpx/tscan_A109_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
206,d,https://image.ibb.co/iAHUhH/tscan_A109_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
207,b,https://image.ibb.co/doqFNH/tscan_A109_48.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
208,a,https://image.ibb.co/daiD9x/tscan_A110_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
209,a,https://image.ibb.co/bZmphH/tscan_A110_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
210,a,https://image.ibb.co/k4ofpx/tscan_A110_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
211,d,https://image.ibb.co/fwvRUx/tscan_A110_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
212,a,https://image.ibb.co/i2trwc/tscan_A110_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
213,c,https://image.ibb.co/mP2UhH/tscan_A110_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
214,d,https://image.ibb.co/c2c6Ux/tscan_A110_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
215,c,https://image.ibb.co/mJxjGc/tscan_A110_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
216,c,https://image.ibb.co/fWVh2H/tscan_A110_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
217,b,https://image.ibb.co/ed49hH/tscan_A110_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
218,b,https://image.ibb.co/cUPmUx/tscan_A110_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
219,b,https://image.ibb.co/bD0RUx/tscan_A110_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
220,c,https://image.ibb.co/dQx6Ux/tscan_A110_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
221,d,https://image.ibb.co/nvzybc/tscan_A110_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
222,b,https://image.ibb.co/ebqt9x/tscan_A110_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
223,d,https://image.ibb.co/eTJ22H/tscan_A110_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
224,d,https://image.ibb.co/hZFRUx/tscan_A110_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
225,a,https://image.ibb.co/e0k4Gc/tscan_A110_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
226,a,https://image.ibb.co/ggqt9x/tscan_A110_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
227,b,https://image.ibb.co/jQN6Ux/tscan_A110_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
228,a,https://image.ibb.co/iQB0px/tscan_A110_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
229,c,https://image.ibb.co/duAt9x/tscan_A110_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
230,b,https://image.ibb.co/k726Ux/tscan_A110_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
231,b,https://image.ibb.co/e5EmUx/tscan_A110_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
232,b,https://image.ibb.co/gebdbc/tscan_A110_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
233,c,https://image.ibb.co/ejcUhH/tscan_A110_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
234,a,https://image.ibb.co/dax6Ux/tscan_A110_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
235,a,https://image.ibb.co/kW6Y9x/tscan_A110_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
236,d,https://image.ibb.co/d9u9hH/tscan_A110_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
237,d,https://image.ibb.co/nv8D9x/tscan_A110_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
238,c,https://image.ibb.co/bXkRUx/tscan_A110_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
239,d,https://image.ibb.co/jWvRUx/tscan_A110_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
240,d,https://image.ibb.co/hDoPGc/tscan_A110_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
241,c,https://image.ibb.co/hVnvNH/tscan_A110_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
242,d,https://image.ibb.co/f5UWwc/tscan_A110_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
243,c,https://image.ibb.co/mrAFNH/tscan_A110_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
244,c,https://image.ibb.co/kj2UhH/tscan_A110_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
