,correct,QuestionLink,category,Direction,optA,optB,optC,optD
245,c,https://image.ibb.co/fFqh2H/tscan_A110_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
246,b,https://image.ibb.co/ktOfpx/tscan_A110_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
247,a,https://image.ibb.co/fdZmUx/tscan_A110_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
248,c,https://image.ibb.co/cr7UhH/tscan_A110_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
249,b,https://image.ibb.co/fRdrwc/tscan_A110_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
250,c,https://image.ibb.co/m0j9hH/tscan_A110_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
251,a,https://image.ibb.co/md8rwc/tscan_A110_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
252,c,https://image.ibb.co/iftPGc/tscan_A110_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
253,d,https://image.ibb.co/dfpEGc/tscan_A110_48.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
254,a,https://image.ibb.co/mJLMwc/tscan_A110_49.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
255,a,https://image.ibb.co/esaobc/tscan_A110_50.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
256,d,https://image.ibb.co/jRg5NH/tscan_A111_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
257,b,https://image.ibb.co/dG5Apx/tscan_A111_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
258,a,https://image.ibb.co/i2M5NH/tscan_A111_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
259,a,https://image.ibb.co/jqG5NH/tscan_A111_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
260,c,https://image.ibb.co/cuNO9x/tscan_A111_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
261,b,https://image.ibb.co/c3sehH/tscan_A111_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
262,c,https://image.ibb.co/f9p39x/tscan_A111_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
263,b,https://image.ibb.co/hMX1wc/tscan_A111_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
264,d,https://image.ibb.co/hO5bUx/tscan_A111_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
265,c,https://image.ibb.co/jhnqpx/tscan_A111_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
266,b,https://image.ibb.co/epQApx/tscan_A111_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
267,b,https://image.ibb.co/cY2qpx/tscan_A111_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
268,d,https://image.ibb.co/mKGuGc/tscan_A111_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
269,d,https://image.ibb.co/izQApx/tscan_A111_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
270,d,https://image.ibb.co/h6Bi9x/tscan_A111_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
271,d,https://image.ibb.co/gxVMwc/tscan_A111_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
272,b,https://image.ibb.co/jBBi9x/tscan_A111_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
273,b,https://image.ibb.co/fTB5NH/tscan_A111_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
274,b,https://image.ibb.co/mPugwc/tscan_A111_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
275,b,https://image.ibb.co/mXSZGc/tscan_A111_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
276,b,https://image.ibb.co/iT3kNH/tscan_A111_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
277,(d),https://image.ibb.co/b23Vpx/tscan_A111_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
278,(d),https://image.ibb.co/dx2ehH/tscan_A111_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
279,(c),https://image.ibb.co/kgabUx/tscan_A111_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
280,(d),https://image.ibb.co/bLoKhH/tscan_A111_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
281,(b),https://image.ibb.co/eALobc/tscan_A111_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
282,(c),https://image.ibb.co/m8m5NH/tscan_A111_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
283,(c),https://image.ibb.co/gdNC2H/tscan_A111_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
284,(c),https://image.ibb.co/eEGuGc/tscan_A111_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
285,(d),https://image.ibb.co/c4sqpx/tscan_A111_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
286,(d),https://image.ibb.co/e0NZGc/tscan_A111_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
287,(b),https://image.ibb.co/haT8bc/tscan_A111_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
288,(d),https://image.ibb.co/jqjgwc/tscan_A111_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
289,(b),https://image.ibb.co/nBCehH/tscan_A111_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
290,(a),https://image.ibb.co/hT1uGc/tscan_A111_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
291,(a),https://image.ibb.co/koSqpx/tscan_A111_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
292,(b),https://image.ibb.co/ev38bc/tscan_A111_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
293,(b),https://image.ibb.co/gFU39x/tscan_A111_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
294,(c),https://image.ibb.co/hfFApx/tscan_A112_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
295,(d),https://image.ibb.co/b0yVpx/tscan_A112_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
296,(c),https://image.ibb.co/dDTkNH/tscan_A112_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
297,(d),https://image.ibb.co/n7dVpx/tscan_A112_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
298,(b),https://image.ibb.co/bBYwUx/tscan_A112_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
299,(c),https://image.ibb.co/hktwUx/tscan_A112_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
300,(d),https://image.ibb.co/gNVMwc/tscan_A112_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
301,(b),https://image.ibb.co/mQ38bc/tscan_A112_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
302,(d),https://image.ibb.co/eisehH/tscan_A112_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
303,(c),https://image.ibb.co/j8hO9x/tscan_A112_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
304,(b),https://image.ibb.co/mLe39x/tscan_A112_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
305,(c),https://image.ibb.co/jQguGc/tscan_A112_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
306,(d),https://image.ibb.co/d7N1wc/tscan_A112_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
307,(d),https://image.ibb.co/jfwi9x/tscan_A112_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
308,(d),https://image.ibb.co/ndAApx/tscan_A112_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
309,(c),https://image.ibb.co/dZb5NH/tscan_A112_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
310,(d ),https://image.ibb.co/cvvobc/tscan_A112_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
311,(d),https://image.ibb.co/kQxehH/tscan_A112_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
312,(a),https://image.ibb.co/hhx1wc/tscan_A112_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
313,(a),https://image.ibb.co/b3DwUx/tscan_A112_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
314,(a),https://image.ibb.co/jeE39x/tscan_A112_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
315,(a),https://image.ibb.co/bLBTbc/tscan_A112_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
316,(a),https://image.ibb.co/iY4gwc/tscan_A112_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
317,(d),https://image.ibb.co/dHTVpx/tscan_A112_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
318,(a),https://image.ibb.co/hesqpx/tscan_A112_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
319,(b),https://image.ibb.co/kXywUx/tscan_A112_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
320,(c),https://image.ibb.co/fJvMwc/tscan_A112_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
321,(d),https://image.ibb.co/k4BGUx/tscan_A112_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
322,(b),https://image.ibb.co/dcRi9x/tscan_A112_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
323,(b),https://image.ibb.co/kVQMwc/tscan_A112_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
324,(d),https://image.ibb.co/hgLRUx/tscan_A112_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
325,(a),https://image.ibb.co/feRdbc/tscan_A112_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
326,(d),https://image.ibb.co/nPw0px/tscan_A112_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
327,(a),https://image.ibb.co/b6Trwc/tscan_A112_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
328,(b),https://image.ibb.co/h2F4Gc/tscan_A112_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
329,(c),https://image.ibb.co/eiBdbc/tscan_A112_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
330,(c),https://image.ibb.co/cgGphH/tscan_A112_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
331,(d),https://image.ibb.co/j9Zybc/tscan_A112_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
332,(d),https://image.ibb.co/eH8fpx/tscan_A112_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
333,(d),https://image.ibb.co/hsDD9x/tscan_A112_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
334,(b),https://image.ibb.co/jCtrwc/tscan_A112_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
335,(c),https://image.ibb.co/mWXUhH/tscan_A112_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
336,(a),https://image.ibb.co/d4u9hH/tscan_A112_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
337,(d),https://image.ibb.co/mZw0px/tscan_A112_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
338,(d),https://image.ibb.co/hgVh2H/tscan_A112_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
339,(c),https://image.ibb.co/cxmN2H/tscan_A112_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
340,(c),https://image.ibb.co/juDfpx/tscan_A112_49.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
341,(d),https://image.ibb.co/eQvFNH/tscan_A112_50.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
342,(b),https://image.ibb.co/bTDPGc/tscan_A112_51.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
343,(a),https://image.ibb.co/iorBwc/tscan_A112_52.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
344,(c),https://image.ibb.co/mXT22H/tscan_A112_53.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
345,(d),https://image.ibb.co/ce6Bwc/tscan_A112_54.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
346,(a),https://image.ibb.co/buah2H/tscan_A112_55.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
347,(d),https://image.ibb.co/bv7Jbc/tscan_A112_56.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
348,(a),https://image.ibb.co/jk2jGc/tscan_A112_58.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
349,(a),https://image.ibb.co/fv5RUx/tscan_A112_59.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
350,(c),https://image.ibb.co/hcwY9x/tscan_A112_60.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
351,(d),https://image.ibb.co/mcvh2H/tscan_A112_61.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
352,(b),https://image.ibb.co/fWfh2H/tscan_A112_62.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
353,(b),https://image.ibb.co/g2Jrwc/tscan_A113_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
354,(b),https://image.ibb.co/j8FFNH/tscan_A113_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
355,(c),https://image.ibb.co/mTvt9x/tscan_A113_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
356,(c),https://image.ibb.co/m5XJbc/tscan_A113_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
357,(b),https://image.ibb.co/bTbN2H/tscan_A113_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
358,(a),https://image.ibb.co/g69Lpx/tscan_A113_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
359,(c),https://image.ibb.co/debdbc/tscan_A113_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
360,(d),https://image.ibb.co/n52jGc/tscan_A113_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
361,(b),https://image.ibb.co/bAwBwc/tscan_A113_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
362,(c),https://image.ibb.co/b4mphH/tscan_A113_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
363,(a),https://image.ibb.co/hsXjGc/tscan_A113_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
364,(b),https://image.ibb.co/dfHUhH/tscan_A113_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
366,(a),https://image.ibb.co/krXUhH/tscan_A113_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
367,(a),https://image.ibb.co/j1gY9x/tscan_A113_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
368,(b),https://image.ibb.co/mxCJbc/tscan_A113_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
369,(b),https://image.ibb.co/cjyrwc/tscan_A113_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
370,(c),https://image.ibb.co/eBLRUx/tscan_A113_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
371,(d),https://image.ibb.co/cKmphH/tscan_A113_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
372,(b),https://image.ibb.co/echjGc/tscan_A113_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
373,(c),https://image.ibb.co/fYCUhH/tscan_A113_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
374,(d),https://image.ibb.co/cqDrwc/tscan_A113_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
375,(b),https://image.ibb.co/foSJbc/tscan_A113_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
376,(d),https://image.ibb.co/g6OD9x/tscan_A113_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
378,(d),https://image.ibb.co/mtQRUx/tscan_A113_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
379,(c),https://image.ibb.co/gwfh2H/tscan_A113_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
380,(c),https://image.ibb.co/geSUhH/tscan_A113_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
381,(c),https://image.ibb.co/cT60px/tscan_A113_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
382,(b),https://image.ibb.co/nO0RUx/tscan_A113_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
383,(b),https://image.ibb.co/mN322H/tscan_A113_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
384,(c),https://image.ibb.co/cbP9hH/tscan_A113_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
385,(a),https://image.ibb.co/i4kt9x/tscan_A113_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
386,(d),https://image.ibb.co/e5Pybc/tscan_A113_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
387,(d),https://image.ibb.co/hTLt9x/tscan_A113_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
388,(a),https://image.ibb.co/fYNjGc/tscan_A113_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
389,(b),https://image.ibb.co/mqUWwc/tscan_A113_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
390,(b),https://image.ibb.co/cVUWwc/tscan_A113_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
391,(a),https://image.ibb.co/cOYrwc/tscan_A113_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
392,(b),https://image.ibb.co/gWK39x/tscan_A113_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
393,(a),https://image.ibb.co/eDC1wc/tscan_A113_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
394,(c),https://image.ibb.co/b6h1wc/tscana114_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
395,(a),https://image.ibb.co/iEwTbc/tscana114_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
396,(b),https://image.ibb.co/i8XO9x/tscana114_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
397,(d),https://image.ibb.co/mm1Tbc/tscana114_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
398,(c),https://image.ibb.co/fqEEGc/tscana114_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
399,(d),https://image.ibb.co/mMkobc/tscana114_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
400,(b),https://image.ibb.co/h9CC2H/tscana114_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
401,(d),https://image.ibb.co/fEKgwc/tscana114_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
402,(a),https://image.ibb.co/b0SC2H/tscana114_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
403,(c),https://image.ibb.co/niC1wc/tscana114_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
404,(d),https://image.ibb.co/gEVobc/tscana114_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
405,(c),https://image.ibb.co/hyUgwc/tscana114_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
406,(a),https://image.ibb.co/hjp39x/tscana114_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
407,(d),https://image.ibb.co/iKZQNH/tscana114_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
408,(d),https://image.ibb.co/hokApx/tscana114_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
409,(d),https://image.ibb.co/jOri9x/tscana114_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
410,(a),https://image.ibb.co/nM5Apx/tscana114_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
411,(c),https://image.ibb.co/haPQNH/tscana114_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
412,(d),https://image.ibb.co/g5Ks2H/tscana114_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
413,(d),https://image.ibb.co/iAKs2H/tscana114_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
414,(a),https://image.ibb.co/nAH1wc/tscana114_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
415,(a),https://image.ibb.co/dqAX2H/tscana114_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
416,(c),https://image.ibb.co/fk9gwc/tscana114_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
417,(a),https://image.ibb.co/hUVobc/tscana114_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
418,(b),https://image.ibb.co/fxi8bc/tscana114_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
419,(a),https://image.ibb.co/nANehH/tscana114_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
420,(b),https://image.ibb.co/b8dkNH/tscana114_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
421,(c),https://image.ibb.co/n4GuGc/tscana114_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
422,(c),https://image.ibb.co/fR71wc/tscana114_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
423,(b),https://image.ibb.co/cFkX2H/tscana114_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
424,(a),https://image.ibb.co/b0zQNH/tscana114_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
425,(c),https://image.ibb.co/b8Ugwc/tscana114_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
426,(a),https://image.ibb.co/erHC2H/tscana114_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
428,(b),https://image.ibb.co/ejLX2H/tscana114_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
429,(c),https://image.ibb.co/m5wi9x/tscana114_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
430,(d),https://image.ibb.co/cq9gwc/tscana114_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
431,(d),https://image.ibb.co/eHWGUx/tscana114_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
432,(d),https://image.ibb.co/dSSehH/tscana114_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
433,(c),https://image.ibb.co/mspgwc/tscana114_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
434,(d),https://image.ibb.co/g8sehH/tscana114_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
435,(a),https://image.ibb.co/iyHehH/tscana114_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
436,(b),https://image.ibb.co/b39EGc/tscana114_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
437,(b),https://image.ibb.co/eXFX2H/tscan_A115_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
438,(a),https://image.ibb.co/e3wGUx/tscan_A115_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
439,(b),https://image.ibb.co/hYps2H/tscan_A115_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
440,(a),https://image.ibb.co/h3owUx/tscan_A115_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
441,(d),https://image.ibb.co/gYhO9x/tscan_A115_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
442,(d),https://image.ibb.co/eb0X2H/tscan_A115_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
443,(a),https://image.ibb.co/dqU39x/tscan_A115_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
444,(d),https://image.ibb.co/hENO9x/tscan_A115_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
445,(b),https://image.ibb.co/cbQbUx/tscan_A115_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
446,(a),https://image.ibb.co/i3z39x/tscan_A115_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
447,(d),https://image.ibb.co/g0JwUx/tscan_A115_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
448,(d),https://image.ibb.co/ixtKhH/tscan_A115_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
449,(b),https://image.ibb.co/fGcO9x/tscan_A115_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
451,(b),https://image.ibb.co/cBCZGc/tscan_A115_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
452,(d),https://image.ibb.co/nzAMwc/tscan_A115_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
453,(d),https://image.ibb.co/miYKhH/tscan_A115_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
454,(d),https://image.ibb.co/g7KEGc/tscan_A115_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
455,(d),https://image.ibb.co/iBYS2H/tscan_A115_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
456,(d),https://image.ibb.co/fUWi9x/tscan_A115_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
457,(b),https://image.ibb.co/kOV72H/tscan_A115_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
